donor_id,last_donation_date,frequency,monetary,recency,average_donation,donation_frequency_band
100130,2016-08-11,4,265.94,102,66.48,Regular
100131,2014-12-03,4,49.6,719,12.4,Regular
100132,2016-02-23,4,145.34,272,36.34,Regular
100133,2016-06-27,3,104.36,147,34.79,Occasional
100134,2016-11-02,7,154.99,19,22.14,Regular
100135,2016-11-13,8,326.34,8,40.79,Regular
100136,2016-04-25,6,281.99,210,47.0,Regular
100137,2016-09-24,7,303.27,58,43.32,Regular
100138,2016-08-26,3,54.54,87,18.18,Occasional
100139,2015-07-27,2,72.8,483,36.4,Occasional
100140,2016-04-04,9,246.89,231,27.43,Regular
100141,2015-11-27,4,157.96,360,39.49,Regular
100142,2016-08-21,7,335.14,92,47.88,Regular
100143,2016-03-12,5,340.56,254,68.11,Regular
100144,2016-05-09,5,134.83,196,26.97,Regular
100145,2016-07-26,11,539.36,118,49.03,Frequent
100146,2016-02-18,7,183.83,277,26.26,Regular
100147,2016-07-10,6,131.52,134,21.92,Regular
100148,2016-03-10,3,136.37,256,45.46,Occasional
100149,2016-04-05,8,307.19,230,38.4,Regular
100150,2016-08-14,9,338.07,99,37.56,Regular
100151,2016-06-12,7,205.59,162,29.37,Regular
100152,2016-11-16,5,137.02,5,27.4,Regular
100153,2015-01-06,4,135.07,685,33.77,Regular
100154,2016-02-26,6,144.65,269,24.11,Regular
100155,2016-03-31,7,234.87,235,33.55,Regular
100156,2016-10-09,10,347.65,43,34.76,Regular
100157,2016-06-19,8,248.52,155,31.06,Regular
100158,2016-11-09,5,182.8,12,36.56,Regular
100159,2016-11-06,13,550.23,15,42.33,Frequent
100160,2015-11-01,3,73.42,386,24.47,Occasional
100161,2016-10-19,9,324.14,33,36.02,Regular
100162,2015-07-18,6,227.99,492,38.0,Regular
100163,2016-06-29,7,193.01,145,27.57,Regular
100164,2016-10-23,7,288.04,29,41.15,Regular
100165,2016-08-09,3,203.72,104,67.91,Occasional
100166,2016-10-21,10,359.14,31,35.91,Regular
100167,2016-08-28,7,155.06,85,22.15,Regular
100168,2014-12-15,2,30.43,707,15.22,Occasional
100169,2015-07-10,3,111.55,500,37.18,Occasional
100170,2016-06-04,4,124.14,170,31.04,Regular
100171,2015-08-27,7,276.97,452,39.57,Regular
100172,2016-06-02,6,168.45,172,28.08,Regular
100173,2016-03-16,3,124.99,250,41.66,Occasional
100174,2016-08-21,11,349.95,92,31.81,Frequent
100175,2015-12-20,5,162.48,337,32.5,Regular
100176,2016-09-29,8,290.73,53,36.34,Regular
100177,2016-10-20,5,168.53,32,33.71,Regular
100178,2016-08-09,8,312.33,104,39.04,Regular
100179,2016-06-24,11,306.69,150,27.88,Frequent
100180,2016-09-26,4,99.27,56,24.82,Regular
100181,2016-01-18,8,263.23,308,32.9,Regular
100182,2016-05-14,4,146.24,191,36.56,Regular
100183,2016-08-31,6,192.31,82,32.05,Regular
100184,2015-10-06,5,104.88,412,20.98,Regular
100185,2014-11-09,3,60.51,743,20.17,Occasional
100186,2016-03-28,12,375.88,238,31.32,Frequent
100187,2015-01-04,4,77.41,687,19.35,Regular
100188,2016-04-14,5,161.08,221,32.22,Regular
100189,2016-11-01,8,282.46,20,35.31,Regular
100190,2016-10-25,4,83.63,27,20.91,Regular
100191,2015-12-01,4,370.05,356,92.51,Regular
100192,2016-10-09,5,124.1,43,24.82,Regular
100193,2016-10-09,6,208.87,43,34.81,Regular
100194,2016-07-15,9,332.62,129,36.96,Regular
100195,2016-06-11,4,102.28,163,25.57,Regular
100196,2016-10-26,8,240.33,26,30.04,Regular
100197,2016-01-24,5,192.85,302,38.57,Regular
100198,2015-10-18,4,92.55,400,23.14,Regular
100199,2016-08-06,8,556.17,107,69.52,Regular
100200,2016-09-05,6,138.01,77,23.0,Regular
100201,2016-09-19,5,195.14,63,39.03,Regular
100202,2015-04-20,5,162.69,581,32.54,Regular
100203,2016-09-17,5,199.83,65,39.97,Regular
100204,2016-10-21,9,250.66,31,27.85,Regular
100205,2016-01-07,5,168.41,319,33.68,Regular
100206,2016-10-20,12,490.27,32,40.86,Frequent
100207,2016-04-20,4,104.3,215,26.08,Regular
100208,2016-07-26,7,313.54,118,44.79,Regular
100209,2015-12-10,9,331.68,347,36.85,Regular
100210,2015-08-28,4,115.86,451,28.96,Regular
100211,2015-06-25,9,142.89,515,15.88,Regular
100212,2015-03-18,1,8.92,614,8.92,One-time
100213,2016-11-10,9,422.26,11,46.92,Regular
100214,2016-04-22,3,67.35,213,22.45,Occasional
100215,2016-11-07,5,279.55,14,55.91,Regular
100216,2016-03-17,5,98.38,249,19.68,Regular
100217,2016-10-02,3,469.31,50,156.44,Occasional
100218,2016-06-27,5,193.68,147,38.74,Regular
100219,2016-01-18,5,92.93,308,18.59,Regular
100220,2016-10-19,8,238.76,33,29.84,Regular
100221,2016-11-11,8,334.04,10,41.76,Regular
100222,2016-09-13,5,261.2,69,52.24,Regular
100223,2016-05-18,8,289.77,187,36.22,Regular
100224,2016-06-13,8,240.06,161,30.01,Regular
100225,2016-07-26,8,472.97,118,59.12,Regular
100226,2015-12-09,5,178.77,348,35.75,Regular
100227,2015-12-17,5,144.77,340,28.95,Regular
100228,2016-05-16,5,147.39,189,29.48,Regular
100229,2016-11-15,3,65.44,6,21.81,Occasional
100230,2016-05-08,7,173.06,197,24.72,Regular
100231,2015-11-26,3,70.98,361,23.66,Occasional
100232,2014-12-15,1,9.64,707,9.64,One-time
100233,2016-06-14,4,72.88,160,18.22,Regular
100234,2016-11-01,6,155.91,20,25.98,Regular
100235,2014-11-26,3,95.06,726,31.69,Occasional
100236,2016-07-01,9,604.35,143,67.15,Regular
100237,2015-05-03,1,8.73,568,8.73,One-time
100238,2016-11-18,4,102.48,3,25.62,Regular
100239,2016-11-13,9,265.02,8,29.45,Regular
100240,2016-07-16,10,284.49,128,28.45,Regular
100241,2016-04-29,4,119.08,206,29.77,Regular
100242,2016-04-30,5,125.33,205,25.07,Regular
100243,2016-08-31,3,70.38,82,23.46,Occasional
100244,2016-09-04,7,275.74,78,39.39,Regular
100245,2016-05-31,3,112.79,174,37.6,Occasional
100246,2016-10-26,5,218.56,26,43.71,Regular
100247,2016-02-19,6,171.07,276,28.51,Regular
100248,2015-02-04,1,52.68,656,52.68,One-time
100249,2016-01-15,5,189.07,311,37.81,Regular
100250,2016-05-15,6,121.81,190,20.3,Regular
100251,2016-09-22,9,225.84,60,25.09,Regular
100252,2015-12-03,3,101.63,354,33.88,Occasional
100253,2016-03-08,3,78.11,258,26.04,Occasional
100254,2015-09-25,3,173.97,423,57.99,Occasional
100255,2016-08-06,6,157.25,107,26.21,Regular
100256,2016-09-28,8,310.31,54,38.79,Regular
100257,2016-09-19,7,222.41,63,31.77,Regular
100258,2016-01-08,2,39.47,318,19.74,Occasional
100259,2014-05-06,4,102.5,930,25.62,Regular
100260,2016-04-02,4,231.76,233,57.94,Regular
100261,2015-09-27,4,137.22,421,34.3,Regular
100262,2016-10-13,6,150.72,39,25.12,Regular
100263,2016-08-16,3,196.09,97,65.36,Occasional
100264,2016-08-21,8,250.66,92,31.33,Regular
100265,2016-11-11,6,222.33,10,37.06,Regular
100266,2015-02-07,2,46.75,653,23.38,Occasional
100267,2016-11-08,5,145.81,13,29.16,Regular
100268,2016-10-29,6,216.16,23,36.03,Regular
100269,2015-07-17,4,127.8,493,31.95,Regular
100270,2016-09-05,4,142.5,77,35.62,Regular
100271,2016-09-23,6,206.28,59,34.38,Regular
100272,2016-09-27,5,105.78,55,21.16,Regular
100273,2016-09-10,9,260.91,72,28.99,Regular
100274,2016-04-07,4,151.6,228,37.9,Regular
100275,2015-01-07,3,48.75,684,16.25,Occasional
100276,2016-11-09,7,341.67,12,48.81,Regular
100277,2016-02-05,8,312.98,290,39.12,Regular
100278,2016-08-17,9,272.65,96,30.29,Regular
100279,2016-06-28,4,103.02,146,25.76,Regular
100280,2016-09-16,7,305.29,66,43.61,Regular
100281,2016-09-11,7,172.53,71,24.65,Regular
100282,2015-02-22,3,75.29,638,25.1,Occasional
100283,2015-09-09,8,271.06,439,33.88,Regular
100284,2016-05-29,9,354.6,176,39.4,Regular
100285,2015-04-07,4,176.89,594,44.22,Regular
100286,2015-01-11,1,5.82,680,5.82,One-time
100287,2016-11-10,2,92.37,11,46.18,Occasional
100288,2016-10-13,8,307.52,39,38.44,Regular
100289,2015-11-06,4,201.1,381,50.28,Regular
100290,2016-05-03,6,132.43,202,22.07,Regular
100291,2016-04-28,6,188.29,207,31.38,Regular
100292,2016-06-24,2,54.45,150,27.22,Occasional
100293,2016-09-21,7,185.84,61,26.55,Regular
100294,2015-11-05,7,213.67,382,30.52,Regular
100295,2016-01-29,4,81.6,297,20.4,Regular
100296,2016-11-09,7,213.85,12,30.55,Regular
100297,2016-07-07,7,207.23,137,29.6,Regular
100298,2016-05-18,7,196.55,187,28.08,Regular
100299,2016-05-22,4,106.04,183,26.51,Regular
100300,2016-05-31,9,248.0,174,27.56,Regular
100301,2015-12-04,4,63.64,353,15.91,Regular
100302,2016-02-22,4,77.93,273,19.48,Regular
100303,2016-11-04,8,295.49,17,36.94,Regular
100304,2016-11-11,8,255.95,10,31.99,Regular
100305,2016-09-20,9,363.0,62,40.33,Regular
100306,2016-05-22,4,133.92,183,33.48,Regular
100307,2016-07-23,6,284.27,121,47.38,Regular
100308,2016-11-18,3,133.8,3,44.6,Occasional
100309,2016-08-16,5,88.18,97,17.64,Regular
100310,2016-02-18,7,192.7,277,27.53,Regular
100311,2016-07-03,5,159.17,141,31.83,Regular
100312,2016-03-24,7,199.38,242,28.48,Regular
100313,2016-09-11,6,368.02,71,61.34,Regular
100314,2015-09-17,2,92.91,431,46.46,Occasional
100315,2016-02-20,6,168.8,275,28.13,Regular
100316,2016-06-28,3,62.51,146,20.84,Occasional
100317,2016-05-09,6,269.55,196,44.92,Regular
100318,2016-04-10,6,183.69,225,30.62,Regular
100319,2016-07-11,11,367.75,133,33.43,Frequent
100320,2016-06-27,5,300.42,147,60.08,Regular
100321,2016-08-29,3,77.73,84,25.91,Occasional
100322,2016-06-10,4,245.64,164,61.41,Regular
100323,2016-09-05,6,167.55,77,27.92,Regular
100324,2016-10-14,6,197.55,38,32.93,Regular
100325,2016-06-28,5,233.83,146,46.77,Regular
100326,2016-08-31,4,399.49,82,99.87,Regular
100327,2016-05-29,5,350.82,176,70.16,Regular
100328,2016-02-14,2,85.42,281,42.71,Occasional
100329,2014-11-20,1,13.85,732,13.85,One-time
100330,2016-10-22,7,214.7,30,30.67,Regular
100331,2016-08-26,9,228.52,87,25.39,Regular
100332,2016-08-05,7,192.82,108,27.55,Regular
100333,2016-09-14,8,291.75,68,36.47,Regular
100334,2016-01-30,5,142.67,296,28.53,Regular
100335,2014-06-19,2,147.64,886,73.82,Occasional
100336,2016-09-14,9,260.29,68,28.92,Regular
100337,2016-06-13,8,314.38,161,39.3,Regular
100338,2016-10-23,7,251.37,29,35.91,Regular
100339,2016-05-19,10,277.76,186,27.78,Regular
100340,2015-05-19,2,54.55,552,27.28,Occasional
100341,2016-11-14,9,228.22,7,25.36,Regular
100342,2016-09-18,4,242.4,64,60.6,Regular
100343,2016-11-11,8,430.83,10,53.85,Regular
100344,2016-11-15,8,407.7,6,50.96,Regular
100345,2016-02-27,5,194.72,268,38.94,Regular
100346,2016-11-07,7,246.8,14,35.26,Regular
100347,2016-08-21,8,247.77,92,30.97,Regular
100348,2016-08-31,5,130.48,82,26.1,Regular
100349,2016-09-19,8,472.14,63,59.02,Regular
100350,2016-03-26,5,176.31,240,35.26,Regular
100351,2016-08-10,10,430.91,103,43.09,Regular
100352,2016-10-08,4,403.8,44,100.95,Regular
100353,2015-08-30,4,180.33,449,45.08,Regular
100354,2016-08-17,6,156.5,96,26.08,Regular
100355,2016-02-07,10,511.74,288,51.17,Regular
100356,2016-11-18,8,176.53,3,22.07,Regular
100357,2016-10-07,4,145.31,45,36.33,Regular
100358,2015-05-16,2,156.94,555,78.47,Occasional
100359,2016-11-15,6,201.02,6,33.5,Regular
100360,2016-05-09,4,206.97,196,51.74,Regular
100361,2016-10-17,5,100.44,35,20.09,Regular
100362,2016-09-07,4,327.71,75,81.93,Regular
100363,2015-12-02,5,200.41,355,40.08,Regular
100364,2016-09-11,7,119.08,71,17.01,Regular
100365,2016-10-08,2,58.3,44,29.15,Occasional
100366,2016-06-14,9,401.04,160,44.56,Regular
100367,2016-10-28,5,296.36,24,59.27,Regular
100368,2015-10-03,3,105.68,415,35.23,Occasional
100369,2016-07-03,7,142.26,141,20.32,Regular
100370,2016-05-04,9,361.73,201,40.19,Regular
100371,2016-10-05,10,319.07,47,31.91,Regular
100372,2016-02-05,6,248.61,290,41.44,Regular
100373,2016-07-03,5,181.69,141,36.34,Regular
100374,2016-10-10,7,198.29,42,28.33,Regular
100375,2016-11-15,5,269.83,6,53.97,Regular
100376,2016-10-15,6,164.12,37,27.35,Regular
100377,2016-06-20,3,90.53,154,30.18,Occasional
100378,2015-03-28,4,220.52,604,55.13,Regular
100379,2016-07-26,5,103.67,118,20.73,Regular
100380,2016-10-31,11,308.94,21,28.09,Frequent
100381,2016-09-19,8,282.25,63,35.28,Regular
100382,2015-09-17,4,88.68,431,22.17,Regular
100383,2016-09-10,5,196.39,72,39.28,Regular
100384,2016-05-15,8,361.65,190,45.21,Regular
100385,2016-03-26,4,199.91,240,49.98,Regular
100386,2016-09-01,5,151.93,81,30.39,Regular
100387,2016-08-22,6,478.06,91,79.68,Regular
100388,2015-05-27,4,138.52,544,34.63,Regular
100389,2016-03-25,5,364.91,241,72.98,Regular
100390,2016-08-30,4,130.72,83,32.68,Regular
100391,2016-07-28,8,231.47,116,28.93,Regular
100392,2016-10-22,5,82.1,30,16.42,Regular
100393,2016-01-04,3,150.75,322,50.25,Occasional
100394,2015-03-05,2,31.33,627,15.66,Occasional
100395,2016-08-19,7,307.88,94,43.98,Regular
100396,2016-05-18,5,372.88,187,74.58,Regular
100397,2016-06-22,4,118.35,152,29.59,Regular
100398,2016-09-22,3,108.38,60,36.13,Occasional
100399,2016-10-03,9,557.55,49,61.95,Regular
100400,2016-08-15,8,206.48,98,25.81,Regular
100401,2016-09-27,5,99.18,55,19.84,Regular
100402,2016-03-01,4,106.97,265,26.74,Regular
100403,2016-10-08,10,331.74,44,33.17,Regular
100404,2015-07-17,7,179.71,493,25.67,Regular
100405,2015-08-12,3,47.27,467,15.76,Occasional
100406,2016-01-30,6,205.92,296,34.32,Regular
100407,2014-12-25,5,484.16,697,96.83,Regular
100408,2016-10-13,5,124.56,39,24.91,Regular
100409,2016-09-27,10,447.74,55,44.77,Regular
100410,2016-11-02,7,680.84,19,97.26,Regular
100411,2016-10-31,3,87.76,21,29.25,Occasional
100412,2016-02-28,6,638.62,267,106.44,Regular
100413,2015-10-22,6,155.52,396,25.92,Regular
100414,2016-11-09,8,311.84,12,38.98,Regular
100415,2016-08-25,10,226.73,88,22.67,Regular
100416,2016-09-01,8,293.55,81,36.69,Regular
100417,2016-04-10,6,234.04,225,39.01,Regular
100418,2016-10-19,3,45.45,33,15.15,Occasional
100419,2015-04-23,5,118.27,578,23.65,Regular
100420,2016-06-13,7,309.64,161,44.23,Regular
100421,2016-04-19,3,91.44,216,30.48,Occasional
100422,2016-11-14,6,221.81,7,36.97,Regular
100423,2015-06-16,6,329.15,524,54.86,Regular
100424,2016-09-18,10,537.36,64,53.74,Regular
100425,2016-09-24,3,75.65,58,25.22,Occasional
100426,2016-09-02,4,75.38,80,18.84,Regular
100427,2016-07-13,7,265.39,131,37.91,Regular
100428,2016-08-28,9,397.01,85,44.11,Regular
100429,2016-08-15,8,251.69,98,31.46,Regular
100430,2016-07-31,3,81.75,113,27.25,Occasional
100431,2016-11-19,10,276.98,2,27.7,Regular
100432,2016-01-05,2,45.96,321,22.98,Occasional
100433,2016-11-09,9,394.79,12,43.87,Regular
100434,2016-10-15,8,356.13,37,44.52,Regular
100435,2016-01-21,5,146.46,305,29.29,Regular
100436,2016-01-10,4,68.56,316,17.14,Regular
100437,2016-09-04,6,179.22,78,29.87,Regular
100438,2015-12-24,4,199.17,333,49.79,Regular
100439,2016-10-18,8,426.71,34,53.34,Regular
100440,2016-09-17,9,291.42,65,32.38,Regular
100441,2016-04-28,4,119.41,207,29.85,Regular
100442,2016-10-31,4,50.08,21,12.52,Regular
100443,2016-11-06,17,477.61,15,28.09,Frequent
100444,2016-03-05,4,67.13,261,16.78,Regular
100445,2015-08-17,4,171.68,462,42.92,Regular
100446,2016-10-03,7,259.74,49,37.11,Regular
100447,2016-05-15,5,134.99,190,27.0,Regular
100448,2016-07-21,8,176.04,123,22.0,Regular
100449,2016-08-08,5,132.57,105,26.51,Regular
100450,2016-08-29,3,80.41,84,26.8,Occasional
100451,2016-06-10,6,139.45,164,23.24,Regular
100452,2016-07-24,7,248.49,120,35.5,Regular
100453,2016-07-06,4,139.63,138,34.91,Regular
100454,2016-10-19,5,99.98,33,20.0,Regular
100455,2016-02-05,3,240.21,290,80.07,Occasional
100456,2015-07-05,4,516.28,505,129.07,Regular
100457,2016-10-10,4,128.99,42,32.25,Regular
100458,2016-09-22,7,181.98,60,26.0,Regular
100459,2016-03-23,5,199.15,243,39.83,Regular
100460,2016-07-03,6,102.43,141,17.07,Regular
100461,2015-04-09,7,178.19,592,25.46,Regular
100462,2015-10-18,5,220.93,400,44.19,Regular
100463,2015-05-02,2,75.76,569,37.88,Occasional
100464,2016-11-02,6,171.76,19,28.63,Regular
100465,2016-09-03,6,160.76,79,26.79,Regular
100466,2016-09-10,6,238.36,72,39.73,Regular
100467,2016-04-04,3,144.9,231,48.3,Occasional
100468,,0,0.0,1054,0.0,No Donation
100469,2016-10-12,4,95.3,40,23.82,Regular
100470,2016-11-18,4,126.8,3,31.7,Regular
100471,2016-11-06,3,187.35,15,62.45,Occasional
100472,2015-04-22,3,61.49,579,20.5,Occasional
100473,2015-12-06,3,64.84,351,21.61,Occasional
100474,2016-10-15,8,375.06,37,46.88,Regular
100475,2016-04-02,5,227.97,233,45.59,Regular
100476,2015-12-10,5,258.24,347,51.65,Regular
100477,2016-09-19,2,44.65,63,22.32,Occasional
100478,2016-02-04,3,61.35,291,20.45,Occasional
100479,2016-06-16,6,188.05,158,31.34,Regular
100480,2016-10-13,10,486.46,39,48.65,Regular
100481,2016-08-10,3,112.4,103,37.47,Occasional
100482,2016-02-29,4,112.57,266,28.14,Regular
100483,2016-11-08,4,183.0,13,45.75,Regular
100484,2016-06-26,1,75.34,148,75.34,One-time
100485,2016-08-24,5,177.29,89,35.46,Regular
100486,2016-10-11,3,93.77,41,31.26,Occasional
100487,2016-07-06,9,204.34,138,22.7,Regular
100488,2016-10-19,5,209.94,33,41.99,Regular
100489,2016-08-12,8,389.88,101,48.74,Regular
100490,2016-11-10,5,186.6,11,37.32,Regular
100491,2015-03-19,6,228.26,613,38.04,Regular
100492,2016-07-02,7,257.49,142,36.78,Regular
100493,2016-06-12,5,191.97,162,38.39,Regular
100494,2016-10-02,4,148.76,50,37.19,Regular
100495,2016-11-17,3,73.68,4,24.56,Occasional
100496,2015-03-09,4,164.23,623,41.06,Regular
100497,2016-10-06,6,199.55,46,33.26,Regular
100498,2016-11-01,6,250.39,20,41.73,Regular
100499,2016-10-16,11,338.27,36,30.75,Frequent
100500,2016-05-13,3,157.1,192,52.37,Occasional
100501,2016-10-26,3,138.09,26,46.03,Occasional
100502,2016-09-01,2,63.05,81,31.52,Occasional
100503,2016-02-15,5,157.6,280,31.52,Regular
100504,2016-10-26,10,390.24,26,39.02,Regular
100505,2016-09-23,4,206.48,59,51.62,Regular
100506,2015-10-30,8,242.43,388,30.3,Regular
100507,2016-11-03,6,161.54,18,26.92,Regular
100508,2016-10-26,6,191.62,26,31.94,Regular
100509,2016-06-16,10,346.57,158,34.66,Regular
100510,2016-08-10,5,163.44,103,32.69,Regular
100511,2016-05-24,8,445.64,181,55.7,Regular
100512,2016-08-20,7,322.86,93,46.12,Regular
100513,2016-09-05,7,286.07,77,40.87,Regular
100514,2016-07-13,2,46.59,131,23.3,Occasional
100515,2016-10-08,8,207.47,44,25.93,Regular
100516,2015-06-13,3,80.61,527,26.87,Occasional
100517,2016-03-15,6,240.54,251,40.09,Regular
100518,2016-09-29,8,180.75,53,22.59,Regular
100519,2016-09-27,3,105.97,55,35.32,Occasional
100520,2016-09-01,9,292.86,81,32.54,Regular
100521,2016-01-28,2,28.57,298,14.28,Occasional
100522,2016-01-28,4,108.17,298,27.04,Regular
100523,2016-11-06,7,194.47,15,27.78,Regular
100524,2016-04-22,8,267.75,213,33.47,Regular
100525,2016-04-13,4,103.74,222,25.94,Regular
100526,2016-09-16,7,314.9,66,44.99,Regular
100527,2016-06-06,10,291.15,168,29.12,Regular
100528,2016-05-24,9,269.5,181,29.94,Regular
100529,2016-05-02,9,290.09,203,32.23,Regular
100530,2015-10-10,2,207.25,408,103.62,Occasional
100531,2016-02-09,5,135.26,286,27.05,Regular
