donor_id,donor_age,donor_gender,donor_country,donor_type,registration_date,last_donation_date,frequency,monetary,average_donation,recency,r_score,f_score,m_score,rfm_score,recency_log,frequency_log,monetary_log,cluster_id,segment_name,segment_color,engagement_strategy
100020,41,Male,Philippines,Individual,2014-04-04,2016-01-12,6,144.24,24.04,314,1,3,2,132,5.752572638825633,1.9459101490553132,4.978387546546135,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100021,44,Male,Philippines,Individual,2016-07-17,2016-09-12,9,237.24,26.36,70,4,5,4,454,4.2626798770413155,2.302585092994046,5.473278568935699,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100022,37,Female,Kenya,Individual,2016-04-18,2016-10-07,7,195.96,27.99,45,4,4,3,443,3.828641396489095,2.0794415416798357,5.283000662436144,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100023,27,Male,Cambodia,NGO,2015-03-22,2016-07-16,5,88.92,17.78,128,3,2,1,321,4.859812404361672,1.791759469228055,4.498920386145381,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100024,67,Female,Philippines,Individual,2014-08-06,2015-09-29,2,135.75,67.88,419,1,1,2,112,6.040254711277414,1.0986122886681098,4.91815444130209,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100025,59,Female,Philippines,Individual,2015-03-07,2016-08-02,7,171.76,24.54,111,3,4,3,343,4.718498871295094,2.0794415416798357,5.1519033480925005,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100026,52,Male,Philippines,Individual,2015-08-28,2016-04-06,8,194.49,24.31,229,2,4,3,243,5.438079308923196,2.1972245773362196,5.275509227222028,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100027,39,Female,Honduras,Individual,2015-10-08,2016-03-05,5,101.97,20.39,261,2,2,1,221,5.568344503761097,1.791759469228055,4.63443768366866,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100028,61,Female,Honduras,Individual,2014-12-23,2016-07-12,2,75.45,37.72,132,3,1,1,311,4.890349128221754,1.0986122886681098,4.336636932375072,3,At-Risk / Hibernating,#EF4444,"Re-engagement survey, emergency relief callouts, lower friction options."
100029,46,Female,El Salvador,Individual,2014-04-15,2016-09-12,2,93.42,46.71,70,4,1,1,411,4.2626798770413155,1.0986122886681098,4.54775291511814,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100030,41,Female,Philippines,Individual,2015-09-17,2016-08-05,6,110.72,18.45,108,3,3,2,332,4.6913478822291435,1.9459101490553132,4.715995741076976,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100031,41,Female,Philippines,Individual,2015-12-24,2016-11-13,11,401.7,36.52,8,5,5,5,555,2.1972245773362196,2.4849066497880004,5.998191867857408,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100032,30,Female,Philippines,Individual,2014-10-02,2016-10-30,6,307.06,51.18,22,5,3,5,535,3.1354942159291497,1.9459101490553132,5.730294569196311,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100033,22,Female,El Salvador,Individual,2015-10-18,2016-08-09,5,213.0,42.6,104,3,2,3,323,4.653960350157523,1.791759469228055,5.365976015021851,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100034,47,Male,Philippines,Individual,2015-08-07,2016-05-01,6,206.61,34.44,204,2,3,3,233,5.3230099791384085,1.9459101490553132,5.335661319688458,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100035,65,Female,Kenya,Individual,2015-05-29,2016-03-18,7,221.06,31.58,248,2,4,4,244,5.517452896464707,2.0794415416798357,5.40294761562612,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100036,21,Female,Albania,Corporate,2014-01-09,2016-08-20,3,215.74,71.91,93,4,1,3,413,4.543294782270004,1.3862943611198906,5.378698478494849,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100037,63,Female,Peru,Individual,2014-11-12,2016-10-29,8,291.92,36.49,23,5,4,4,544,3.1780538303479458,2.1972245773362196,5.679899534192869,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100038,61,Male,Rwanda,Individual,2015-01-19,2016-08-26,9,496.51,55.17,87,4,5,5,455,4.477336814478207,2.302585092994046,6.209615656899148,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100039,32,Male,Philippines,NGO,2016-05-04,2015-02-11,5,208.08,41.62,649,1,2,3,123,6.476972362889683,1.791759469228055,5.342716953844721,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100040,51,Female,Kenya,Individual,2016-04-26,2016-05-14,2,38.26,19.13,191,2,1,1,211,5.2574953720277815,1.0986122886681098,3.670206188848315,3,At-Risk / Hibernating,#EF4444,"Re-engagement survey, emergency relief callouts, lower friction options."
100041,26,Female,Azerbaijan,Individual,2016-06-14,2016-09-28,5,196.94,39.39,54,4,2,3,423,4.007333185232471,1.791759469228055,5.287963954468545,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100042,58,Male,El Salvador,Individual,2015-04-20,2016-10-07,6,134.79,22.46,45,4,3,2,432,3.828641396489095,1.9459101490553132,4.911109574710704,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100043,55,Male,Nicaragua,Individual,2014-12-02,2016-08-06,9,270.44,30.05,107,3,5,4,354,4.68213122712422,2.302585092994046,5.603741120475974,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100044,36,Male,Madagascar,Individual,2015-05-27,2016-02-27,6,264.23,44.04,268,2,3,4,234,5.594711379601839,1.9459101490553132,5.580597374085823,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100045,21,Female,Pakistan,Individual,2016-03-22,2015-11-08,3,134.31,44.77,379,1,1,2,112,5.940171252720432,1.3862943611198906,4.907568442275553,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100046,69,Male,Kenya,Small Business,2015-09-30,2016-07-05,5,141.0,28.2,139,3,2,2,322,4.941642422609304,1.791759469228055,4.955827057601261,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100047,41,Female,Peru,NGO,2015-09-09,2016-05-06,5,506.24,101.25,199,2,2,5,225,5.298317366548036,1.791759469228055,6.228984264366699,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100048,65,Male,Philippines,Individual,2015-03-22,2016-10-27,9,297.87,33.1,25,5,5,5,555,3.258096538021482,2.302585092994046,5.700008696236627,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100049,53,Male,Philippines,Individual,2015-12-15,2016-07-27,5,138.8,27.76,117,3,2,2,322,4.770684624465665,1.791759469228055,4.94021282979971,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100050,59,Male,Philippines,Individual,2016-06-07,2016-04-30,3,110.76,36.92,205,2,1,2,212,5.327876168789581,1.3862943611198906,4.716353714948706,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100051,58,Female,Togo,Individual,2015-11-16,2016-08-30,10,403.73,40.37,83,4,5,5,455,4.430816798843313,2.3978952727983707,6.003220178118835,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100052,28,Female,Ecuador,Individual,2015-02-18,2016-07-20,3,142.66,47.55,124,3,1,2,312,4.8283137373023015,1.3862943611198906,4.967449396646655,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100053,37,Female,Kenya,Individual,2016-05-10,2016-04-15,5,174.99,35.0,220,2,2,3,223,5.3981627015177525,1.791759469228055,5.17042717524212,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100054,42,Female,Philippines,Individual,2016-08-23,2016-08-13,3,101.12,33.71,100,3,1,1,311,4.61512051684126,1.3862943611198906,4.6261485923732835,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100055,44,Male,Ecuador,NGO,2016-03-27,2016-11-18,11,511.86,46.53,3,5,5,5,555,1.3862943611198906,2.4849066497880004,6.240002903442134,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100056,20,Female,Liberia,Individual,2016-06-17,2016-06-24,3,158.9,52.97,150,3,1,2,312,5.017279836814924,1.3862943611198906,5.074548619839908,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100057,46,Male,Kenya,Individual,2014-09-30,2016-02-21,8,229.9,28.74,274,2,4,4,244,5.616771097666572,2.1972245773362196,5.44198471636045,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100058,26,Male,Kenya,Individual,2015-03-08,2016-06-19,2,28.48,14.24,155,3,1,1,311,5.049856007249537,1.0986122886681098,3.383712067321136,3,At-Risk / Hibernating,#EF4444,"Re-engagement survey, emergency relief callouts, lower friction options."
100059,57,Male,Indonesia,Individual,2014-09-13,2016-05-28,6,173.88,28.98,177,2,3,3,233,5.181783550292085,1.9459101490553132,5.164100024428229,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100060,54,Male,Sierra Leone,Individual,2015-01-11,2015-02-03,2,124.68,62.34,657,1,1,2,112,6.489204931325317,1.0986122886681098,4.833738993947366,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100061,66,Female,Ghana,Individual,2016-01-22,2016-06-10,5,135.43,27.09,164,3,2,2,322,5.10594547390058,1.791759469228055,4.915811662574783,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100062,57,Female,Kenya,Individual,2015-11-25,2015-12-05,5,107.71,21.54,352,1,2,1,121,5.8664680569332965,1.791759469228055,4.6886837862159085,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100063,37,Female,Philippines,Small Business,2014-01-04,2016-10-27,6,224.43,37.4,25,5,3,4,534,3.258096538021482,1.9459101490553132,5.418009689466041,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100064,69,Female,Uganda,Corporate,2016-02-13,2016-10-24,6,315.28,52.55,28,5,3,5,535,3.367295829986474,1.9459101490553132,5.756627897202726,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100065,39,Female,Kenya,Individual,2014-07-17,2016-07-11,4,203.91,50.98,133,3,1,3,313,4.897839799950911,1.6094379124341003,5.322570858348741,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100066,35,Male,Togo,Individual,2014-07-10,2016-09-29,6,274.22,45.7,53,4,3,4,434,3.9889840465642745,1.9459101490553132,5.617570777837136,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100067,65,Male,Philippines,Individual,2015-07-12,2016-07-27,2,15.96,7.98,117,3,1,1,311,4.770684624465665,1.0986122886681098,2.830857630363757,3,At-Risk / Hibernating,#EF4444,"Re-engagement survey, emergency relief callouts, lower friction options."
100068,37,Male,Nicaragua,Individual,2014-09-05,2015-07-29,1,35.8,35.8,481,1,1,1,111,6.1779441140506,0.6931471805599453,3.6054978451748854,3,At-Risk / Hibernating,#EF4444,"Re-engagement survey, emergency relief callouts, lower friction options."
100069,22,Female,Jordan,Corporate,2016-09-13,2016-04-26,7,372.55,53.22,209,2,4,5,245,5.3471075307174685,2.0794415416798357,5.923051864421811,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100070,42,Other,Madagascar,Individual,2014-05-31,2016-09-13,7,169.5,24.21,69,4,4,3,443,4.248495242049359,2.0794415416798357,5.1387352967235715,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100071,60,Male,Nicaragua,Individual,2016-02-19,2016-05-19,6,158.77,26.46,186,2,3,2,232,5.231108616854587,1.9459101490553132,5.073735281039481,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100072,28,Female,Mozambique,NGO,2014-10-21,2016-06-19,5,228.03,45.61,155,3,2,4,324,5.049856007249537,1.791759469228055,5.433852999340729,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100073,42,Female,Philippines,Individual,2016-01-03,2016-11-02,6,113.03,18.84,19,5,3,2,532,2.995732273553991,1.9459101490553132,4.736461571669267,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100074,24,Female,El Salvador,Individual,2015-11-30,2015-08-30,9,290.9,32.32,449,1,5,4,154,6.1092475827643655,2.302585092994046,5.676411277860069,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100075,54,Female,Philippines,Individual,2014-07-14,2015-09-21,4,133.53,33.38,427,1,1,2,112,6.059123195581797,1.6094379124341003,4.901787222497451,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100076,43,Female,Kosovo,Individual,2015-08-18,2016-11-18,7,131.68,18.81,3,5,4,2,542,1.3862943611198906,2.0794415416798357,4.887940214078852,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100077,35,Female,Jordan,Individual,2015-07-05,2016-04-04,5,120.33,24.07,231,2,2,2,222,5.44673737166631,1.791759469228055,4.798514106063782,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100078,30,Female,Philippines,Corporate,2014-04-08,2015-09-08,8,315.73,39.47,440,1,4,5,145,6.089044875446846,2.1972245773362196,5.7580496759291435,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100079,47,Male,Philippines,Individual,2016-02-23,2016-10-13,3,110.81,36.94,39,5,1,2,512,3.6888794541139363,1.3862943611198906,4.716801002159277,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100080,53,Female,El Salvador,Individual,2016-05-28,2015-12-22,7,151.3,21.61,335,1,4,2,142,5.817111159963204,2.0794415416798357,5.025852259901116,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100081,67,Male,Kenya,Individual,2016-08-28,2016-10-03,10,367.5,36.75,49,4,5,5,455,3.912023005428146,2.3978952727983707,5.909440711629391,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100082,41,Female,United States,Individual,2014-04-01,2016-10-26,7,210.71,30.1,26,5,4,3,543,3.295836866004329,2.0794415416798357,5.355217413680848,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100083,26,Male,Philippines,Individual,2014-07-03,2016-06-28,5,110.07,22.01,146,3,2,2,322,4.990432586778736,1.791759469228055,4.7101606331790284,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100084,62,Male,Guatemala,Small Business,2016-04-25,2016-10-16,8,211.0,26.38,36,5,4,3,543,3.6109179126442243,2.1972245773362196,5.356586274672012,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100085,51,Male,Pakistan,Individual,2014-11-09,2016-03-11,9,305.51,33.95,255,2,5,5,255,5.545177444479562,2.302585092994046,5.725250381271442,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100086,55,Male,El Salvador,Individual,2015-10-04,2016-05-22,5,189.75,37.95,183,2,2,3,223,5.214935757608986,1.791759469228055,5.250963670164566,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100087,23,Male,Philippines,Individual,2014-12-24,2016-10-10,8,278.34,34.79,42,4,4,4,444,3.7612001156935624,2.1972245773362196,5.632429677877625,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100088,34,Male,Congo,Individual,2014-08-12,2015-07-19,4,87.6,21.9,491,1,1,1,111,6.198478716492308,1.6094379124341003,4.484131857611035,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100089,58,Male,Tajikistan,Individual,2015-10-03,2016-11-01,5,357.8,71.56,20,5,2,5,525,3.044522437723423,1.791759469228055,5.882765130184641,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100090,62,Male,Uganda,Small Business,2014-07-30,2015-09-24,2,32.19,16.1,424,1,1,1,111,6.052089168924417,1.0986122886681098,3.502248625731883,3,At-Risk / Hibernating,#EF4444,"Re-engagement survey, emergency relief callouts, lower friction options."
100091,41,Female,El Salvador,Individual,2014-05-21,2016-08-07,7,235.52,33.65,106,3,4,4,344,4.672828834461906,2.0794415416798357,5.466032770952629,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100092,60,Female,Jordan,NGO,2015-06-28,2016-04-30,11,434.24,39.48,205,2,5,5,255,5.327876168789581,2.4849066497880004,6.075897603082812,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100093,62,Female,Rwanda,Small Business,2014-07-18,2016-01-12,6,297.4,49.57,314,1,3,4,134,5.752572638825633,1.9459101490553132,5.698434868329605,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100094,38,Male,Lebanon,Individual,2014-07-17,2016-10-23,4,130.2,32.55,29,5,1,2,512,3.4011973816621555,1.6094379124341003,4.876722876509988,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100095,65,Male,Tajikistan,Individual,2016-03-10,2016-07-19,3,84.71,28.24,125,3,1,1,311,4.836281906951478,1.3862943611198906,4.450969504910791,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100096,33,Female,Sierra Leone,Small Business,2015-06-26,2016-08-23,6,192.8,32.13,90,4,3,3,433,4.51085950651685,1.9459101490553132,5.266826699456666,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100097,30,Male,Kenya,Corporate,2015-07-10,2016-05-05,4,87.92,21.98,200,2,1,1,211,5.303304908059076,1.6094379124341003,4.487737089095996,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100098,54,Male,Vietnam,Individual,2014-05-28,2016-01-24,6,182.92,30.49,302,1,3,3,133,5.713732805509369,1.9459101490553132,5.214500880454926,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100099,51,Female,El Salvador,Individual,2014-06-14,2015-07-29,2,88.34,44.17,481,1,1,1,111,6.1779441140506,1.0986122886681098,4.492449315923973,3,At-Risk / Hibernating,#EF4444,"Re-engagement survey, emergency relief callouts, lower friction options."
100100,25,Female,Colombia,Individual,2015-02-05,2016-08-05,4,136.23,34.06,108,3,1,2,312,4.6913478822291435,1.6094379124341003,4.921658350281541,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100101,62,Male,Solomon Islands,Small Business,2015-02-03,2016-09-29,4,99.81,24.95,53,4,1,1,411,3.9889840465642745,1.6094379124341003,4.61323755706585,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100102,28,Female,Burundi,NGO,2015-04-08,2016-05-28,4,186.06,46.52,177,2,1,3,213,5.181783550292085,1.6094379124341003,5.231429421006405,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100103,60,Male,Peru,NGO,2014-05-19,2016-08-05,9,243.51,27.06,108,3,5,4,354,4.6913478822291435,2.302585092994046,5.499256207874054,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100104,18,Female,Colombia,Individual,2016-07-09,2016-10-13,5,190.27,38.05,39,5,2,3,523,3.6888794541139363,1.791759469228055,5.2536860424024425,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100105,60,Male,Zimbabwe,Individual,2015-01-07,2016-03-30,7,215.5,30.79,236,2,4,3,243,5.4680601411351315,2.0794415416798357,5.377590547442544,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100106,59,Male,Ukraine,Small Business,2016-04-16,2016-05-08,7,226.64,32.38,197,2,4,4,244,5.288267030694535,2.0794415416798357,5.4277654337349235,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100107,59,Female,Honduras,Individual,2015-02-15,2016-05-18,9,233.44,25.94,187,2,5,4,254,5.236441962829949,2.302585092994046,5.457199691608229,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100108,53,Male,Philippines,NGO,2015-04-30,2016-06-13,3,112.06,37.35,161,3,1,2,312,5.087596335232384,1.3862943611198906,4.727918651247145,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100109,42,Female,Kenya,Individual,2014-04-26,2016-02-18,7,322.19,46.03,277,2,4,5,245,5.627621113690637,2.0794415416798357,5.778240385574211,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100110,55,Male,Zimbabwe,NGO,2015-11-25,2016-07-11,10,326.55,32.66,133,3,5,5,355,4.897839799950911,2.3978952727983707,5.791640715177885,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100111,32,Female,Armenia,Individual,2014-03-03,2016-11-18,6,275.76,45.96,3,5,3,4,534,1.3862943611198906,1.9459101490553132,5.623150704630611,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100112,59,Female,India,Individual,2016-02-06,2016-11-03,7,189.84,27.12,18,5,4,3,543,2.9444389791664403,2.0794415416798357,5.251435380647906,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100113,47,Female,Ecuador,Individual,2016-06-22,2016-04-23,3,115.17,38.39,212,2,1,2,212,5.3612921657094255,1.3862943611198906,4.755054635525384,1,Potential Loyalists,#F59E0B,"Targeted impact stories, donation match offers, multi-channel nudges."
100114,42,Female,El Salvador,Individual,2015-01-06,2016-09-13,7,197.12,28.16,69,4,4,3,443,4.248495242049359,2.0794415416798357,5.288872907720037,0,Loyal Donors,#3B82F6,"Recurring monthly giving programs, impact newsletters, gratitude calls."
100115,44,Male,El Salvador,Individual,2016-06-28,2016-11-06,10,498.53,49.85,15,5,5,5,555,2.772588722239781,2.3978952727983707,6.213667656345135,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
100116,48,Female,Lebanon,Small Business,2015-12-18,2016-11-18,8,152.06,19.01,3,5,4,2,542,1.3862943611198906,2.1972245773362196,5.030830001381775,2,Champions,#10B981,"VIP invitations, early campaign access, donor advisory panel."
